"","Domain","Phylum","Class","Order","Family","Genus","Species"
"5974d7bf190f3bb1c4409b2f0060a8d2","Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Holosporaceae","uncultured_bacterium"
"9741157e325a285f3196ace4226ec022","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","uncultured_archaeon"
"a18c598e72e7f8f3f9a9d8e6a80f18d1","Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","uncultured","uncultured_bacterium"
"eed4ceb21c0205837e572c00dd439b66","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Robiginitalea","uncultured_bacterium"
"f1e52c22ab24b7be75b226f07c2c7cc7","Archaea","Thermoplasmatota","Thermoplasmata","Marine_Group_II","Marine_Group_II","Marine_Group_II","uncultured_marine_archaeon"
"46c73174f64c83cdf7a4d1e1c8429137","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia",""
"e2dfefcd25ee861094466520108a0544","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus_CC9902",""
"58dbfcbd05ef744fe1d8e6c1b8cb854b","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilaceae",""
"eb42453c432571642c97b94384167e38","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae","CM1G08","uncultured_bacterium"
"e65c801ec00f27c5886f46391c0e1154","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured","uncultured_bacterium"
"8cdadd0b6dda37d3cb110170ebb95b0d","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","uncultured","uncultured_marine_bacterium"
"9181ba6c5de5015c22b9d25dcb8f319e","Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria",""
"c8e92d13fd02f2564da57f74a05737ba","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_marine_microorganism"
"9659e98ecf4720443cf5e93abf56b77e","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ib",""
"a933895cbb223864fa084f92104e63e5","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",""
"aa5df62716d13670ebdb8e3b0e1efd23","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopumilus",""
"b184f160e99564cd8e82fd7dc128b3ee","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"be625f08faf9145f810175367e7d46f8","Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade","SAR86_clade","SAR86_clade","uncultured_Oceanospirillales_bacterium"
"9a1b5225492fc4c10cd05494aa31a6c5","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured","uncultured_Bacteroidetes_bacterium"
"0edd93655701f3b5f6cf3a741594a8db","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_marine_bacterium"
"626ff0bd893475b9b4fe174c2d3034e8","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",""
"72dbe2eb21e476135fc03801533063e7","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",""
"83748209f91d86cf9f9f690a2225e882","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group","uncultured_Flavobacteriia_bacterium"
"f04001443defe3e2288a8d207a7d97ff","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",""
"4e58add4e7ff0072d7a203ca47991aa1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Cerasicoccus",""
"91f890a41736324104486c76c09a35b8","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_aquatile"
"0c442090573b2822767186d443f9231d","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","Cerasicoccus",""
"a8f1aaf0ca162bf59b6d73540d6cb256","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36","uncultured_marine_bacterium"
"8b7a4e6916a60eea57c3a191abdc2521","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","uncultured","uncultured_organism"
"b6c1c03aed187aab8a64735f94e7127c","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae","uncultured","marine_metagenome"
"3982c4397361cbbadb4ff41120ee097c","Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","uncultured_marine_bacterium"
"ebb4d4619cc7ea666c3fa76677ec703f","Bacteria","Bdellovibrionota","Oligoflexia","Oligoflexales","uncultured","uncultured","uncultured_bacterium"
"b6dbfdd54b82e5b07e415c24d2f1850f","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina",""
"310198435402004b99b0b3f081eca5b8","Bacteria","Nitrospinota","Nitrospinia","Nitrospinales","Nitrospinaceae","Nitrospina",""
"5d57528ffddddb932212420af97deb2f","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group",""
"c60a966725e6e41b6d448ffdbe7b4378","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"72eed788ef73d34012f8dae1cbaa431a","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Magnetospira","uncultured_nuHF1_cluster_bacterium_HF0770_35I22"
"27a1075ef02b5680d326597c0973c98e","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_IV","Clade_IV",""
"395fbd5134259739065684ed515df60f","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Cephaloticoccus","uncultured_Verrucomicrobia_bacterium"
"3cff57fc4dae7261eb418e8333df42db","Bacteria","Planctomycetota","OM190","OM190","OM190","OM190","uncultured_Planctomycetaceae_bacterium"
"49102d82c61d0b8120f5d8ad5e58ab10","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","uncultured_delta_proteobacterium"
"a4dc6b1f749e5f487d4f70fd0e5c9a42","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","uncultured",""
"1c7ed649b085f9d727cef68d9b2db324","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","",""
"b4141a2f7e84416dfa8c16979da24d2e","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS7_marine_group","NS7_marine_group","uncultured_marine_bacterium"
"7950a69e45a92615b1c434d527a3dcad","Bacteria","Proteobacteria","Gammaproteobacteria","Francisellales","Francisellaceae","uncultured","uncultured_bacterium"
"05c48e63fbae26ef61b6aad097ef8a40","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","uncultured","uncultured","uncultured_Bacteroidetes/Chlorobi_group_bacterium"
"6d32e9bfca75ec27d6320f2e77d2bfc4","Bacteria","Verrucomicrobiota","Verrucomicrobiae","uncultured","uncultured","uncultured","uncultured_Opitutae_bacterium"
"f39a8d905f5c749c70cb2f46775232d1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia",""
"38d7271f66427aee68ea6e2ec787a2ec","Bacteria","Bacteroidota","Bacteroidia","Bacteroidetes_VC2.1_Bac22","Bacteroidetes_VC2.1_Bac22","Bacteroidetes_VC2.1_Bac22","uncultured_Bacteroidetes_bacterium"
"3b1906d6d90524c7b036c2222a7a004a","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasediminibacterium","uncultured_bacterium"
"5fcbdb31e5b544181fe9aa1d9457cd79","Archaea","Crenarchaeota","Nitrososphaeria","Nitrosopumilales","Nitrosopumilaceae","Candidatus_Nitrosopelagicus","uncultured_marine_archaeon"
"c7c16b22f15850d0ad241ef1041e29b0","Bacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","Margulisbacteria","uncultured_bacterium"
"106f5ef839e043968e789c15c7d5ae4f","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","",""
"fd7c2717c43d787d8c4c4510c99c23ee","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Gallionellaceae","Gallionella","uncultured_bacterium"
"945afe5bd7f2c72d035b7037bc033d10","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_II","Clade_II",""
"77339b680aaf3567b09e8c8d078986d5","Bacteria","Proteobacteria","Gammaproteobacteria","HOC36","HOC36","HOC36",""
"43f63d2a81401b13bb58a8d6f767eabe","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",""
